epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.51461,1.93245,3.39932,1.91427,0.68242,0.60552,0.65026,0.38222,1.77212,2.19474,1.88362,5.716e-05,5.716e-05,5.716e-05
2,6.06083,1.94862,3.12864,1.95848,0.57054,0.78056,0.78361,0.55371,1.57264,1.38833,1.76091,0.000126064,0.000126064,0.000126064
3,7.61471,1.84728,1.94631,1.85039,0.5904,0.76214,0.77447,0.55708,1.56652,1.35905,1.74356,0.000192138,0.000192138,0.000192138
4,8.90914,1.62256,1.43811,1.61619,0.61046,0.82222,0.77133,0.57676,1.22353,1.15268,1.50571,0.000255382,0.000255382,0.000255382
5,10.1693,1.46602,1.17307,1.51318,0.64577,0.82222,0.7583,0.58992,1.15114,1.32144,1.46822,0.000315798,0.000315798,0.000315798
6,11.3432,1.22029,1.07225,1.27994,0.68055,0.82222,0.78421,0.5831,1.12012,1.39209,1.4527,0.000373383,0.000373383,0.000373383
7,12.4921,1.32594,1.25041,1.55457,0.67797,0.82222,0.7937,0.58989,1.12495,1.22935,1.46361,0.00042814,0.00042814,0.00042814
8,13.5791,1.1352,0.9334,1.31507,0.67797,0.82222,0.7937,0.58989,1.12495,1.22935,1.46361,0.000480067,0.000480067,0.000480067
9,14.989,1.06388,0.85022,1.27106,0.71858,0.82222,0.79755,0.58504,1.20489,1.07329,1.48134,0.000529164,0.000529164,0.000529164
10,16.0969,1.12416,0.82179,1.36031,0.77731,0.82222,0.81707,0.5967,1.12107,0.89934,1.40416,0.000575433,0.000575433,0.000575433
11,17.2361,1.11514,0.84695,1.27432,0.77731,0.82222,0.81707,0.5967,1.12107,0.89934,1.40416,0.000618871,0.000618871,0.000618871
12,18.4325,1.15804,0.86888,1.30974,0.86208,0.82222,0.83454,0.61876,1.05634,0.89655,1.35735,0.000659481,0.000659481,0.000659481
13,19.6371,1.04117,0.77707,1.29109,0.86208,0.82222,0.83454,0.61876,1.05634,0.89655,1.35735,0.000697261,0.000697261,0.000697261
14,20.7712,1.0444,0.85952,1.22043,0.86208,0.82222,0.83454,0.61876,1.05634,0.89655,1.35735,0.000732211,0.000732211,0.000732211
15,21.9542,1.04134,0.7554,1.21106,0.91498,0.82222,0.84417,0.67068,0.9477,0.79607,1.28839,0.000764332,0.000764332,0.000764332
16,23.1032,1.05951,0.78789,1.18146,0.91498,0.82222,0.84417,0.67068,0.9477,0.79607,1.28839,0.000793624,0.000793624,0.000793624
17,24.281,1.06406,0.74722,1.26656,0.91498,0.82222,0.84417,0.67068,0.9477,0.79607,1.28839,0.000820086,0.000820086,0.000820086
18,25.5492,0.99618,0.73055,1.23741,0.87338,0.82222,0.85604,0.6783,0.93217,0.75439,1.27333,0.000843719,0.000843719,0.000843719
19,26.6846,1.08656,0.82579,1.21072,0.87338,0.82222,0.85604,0.6783,0.93217,0.75439,1.27333,0.000864522,0.000864522,0.000864522
20,27.8377,1.00986,0.7748,1.19565,0.87338,0.82222,0.85604,0.6783,0.93217,0.75439,1.27333,0.000882496,0.000882496,0.000882496
21,29.0041,1.05521,0.74806,1.22907,0.85639,0.82222,0.87489,0.65916,1.00038,0.76921,1.32031,0.000863116,0.000863116,0.000863116
22,30.1467,1.07055,0.74284,1.25026,0.85639,0.82222,0.87489,0.65916,1.00038,0.76921,1.32031,0.000834822,0.000834822,0.000834822
23,31.2233,1.04314,0.69184,1.21733,0.85639,0.82222,0.87489,0.65916,1.00038,0.76921,1.32031,0.000806528,0.000806528,0.000806528
24,32.3234,1.02974,0.73529,1.23731,0.82626,0.91827,0.89914,0.67789,1.01096,0.70135,1.31905,0.000778233,0.000778233,0.000778233
25,33.4513,0.99083,0.66992,1.09742,0.82626,0.91827,0.89914,0.67789,1.01096,0.70135,1.31905,0.000749939,0.000749939,0.000749939
26,34.6543,1.02018,0.79354,1.23048,0.82626,0.91827,0.89914,0.67789,1.01096,0.70135,1.31905,0.000721645,0.000721645,0.000721645
27,35.7727,1.01793,0.693,1.21816,0.87861,0.92048,0.90434,0.69146,0.99877,0.71942,1.30648,0.000693351,0.000693351,0.000693351
28,36.9383,0.9938,0.71242,1.12837,0.87861,0.92048,0.90434,0.69146,0.99877,0.71942,1.30648,0.000665057,0.000665057,0.000665057
29,38.1047,1.00824,0.70878,1.15482,0.87861,0.92048,0.90434,0.69146,0.99877,0.71942,1.30648,0.000636762,0.000636762,0.000636762
30,39.2738,1.1211,0.78767,1.37161,0.87623,0.91117,0.87832,0.66692,1.03414,0.75567,1.31342,0.000608468,0.000608468,0.000608468
31,40.36,0.94222,0.65662,1.18583,0.87623,0.91117,0.87832,0.66692,1.03414,0.75567,1.31342,0.000580174,0.000580174,0.000580174
32,41.4328,0.97432,0.66096,1.17878,0.87623,0.91117,0.87832,0.66692,1.03414,0.75567,1.31342,0.00055188,0.00055188,0.00055188
33,42.5223,0.98448,0.74534,1.20166,0.87623,0.91117,0.87832,0.66692,1.03414,0.75567,1.31342,0.000523586,0.000523586,0.000523586
34,43.7277,0.95197,0.62738,1.19157,0.87557,0.89994,0.8529,0.64104,1.02692,0.74435,1.29256,0.000495291,0.000495291,0.000495291
35,44.8179,0.93004,0.61653,1.16883,0.87557,0.89994,0.8529,0.64104,1.02692,0.74435,1.29256,0.000466997,0.000466997,0.000466997
36,45.8945,0.96311,0.61917,1.18864,0.87557,0.89994,0.8529,0.64104,1.02692,0.74435,1.29256,0.000438703,0.000438703,0.000438703
37,47.022,0.9258,0.67875,1.12697,0.87428,0.91511,0.85294,0.65613,1.00434,0.72356,1.27322,0.000410409,0.000410409,0.000410409
38,48.121,0.9467,0.63592,1.08152,0.87428,0.91511,0.85294,0.65613,1.00434,0.72356,1.27322,0.000382115,0.000382115,0.000382115
39,49.2246,0.9669,0.56843,1.15228,0.87428,0.91511,0.85294,0.65613,1.00434,0.72356,1.27322,0.00035382,0.00035382,0.00035382
40,50.37,0.90341,0.62976,1.16816,0.87806,0.91673,0.87964,0.67954,0.97229,0.71192,1.25545,0.000325526,0.000325526,0.000325526
41,79.8684,0.88686,0.61555,1.1864,0.87806,0.91673,0.87964,0.67954,0.97229,0.71192,1.25545,0.000297232,0.000297232,0.000297232
42,80.9847,0.80658,0.54611,1.0341,0.87806,0.91673,0.87964,0.67954,0.97229,0.71192,1.25545,0.000268938,0.000268938,0.000268938
